ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
13016,HIUS,4501,003,Seminar,"4","Melvyn Leffler","Mo 5:00PM - 7:30PM","Gibson Hall 142","Seminar in United States History","US and the End of the Cold War",Open,11,12,0
18122,HIUS,4559,001,Seminar,"3","Penny Von Eschen","Mo 3:30PM - 6:00PM","Bryan Hall 330","New Course in United States History","Cold War Memory and Nostalgia",Open,4,9,0
20360,HIUS,4993,004,Independent Study,"1 - 3","Kirt Von Daacke","TBA","TBA","Independent Study in United States History","",Open,1,5,0
12000,HIUS,4993,005,Independent Study,"1 - 3","Justene Hill Edwards","TBA","TBA","Independent Study in United States History","",Open,1,3,0
12002,HIUS,4993,006,Independent Study,"1 - 3","Claudrena Harold","TBA","TBA","Independent Study in United States History","",Open,0,1,0
18101,HIUS,7041,001,Seminar,"3","Alan Taylor","Mo 6:00PM - 8:30PM","New Cabell Hall 211","The Early American Republic, 1783-1830","",Open,11,12,0
18105,HIUS,7055,001,Lecture,"3","George White","MoWe 2:10PM - 3:30PM","Slaughter Hall 262","Law in American History II: From Reconstruction Through the 1920s","",Open,4,8,0
18106,HIUS,7073,001,Lecture,"3","Cynthia Nicoletti","TuTh 2:10PM - 3:30PM","Contact Department","Writing Legal History","",Open,5,6,0
18107,HIUS,7261,001,Seminar,"3","Brian Balogh","Mo 6:00PM - 8:30PM","New Cabell Hall 283","American Political Development in Action","",Open,4,12,0
19631,HIUS,7658,001,Seminar,"3","Caroline Janney","Mo 2:00PM - 4:30PM","Fayerweather Hall 206","Nineteenth-Century American Social and Cultural History","",Open,11,12,0
20494,HIUS,9030,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Tutorial in Race, Religion, the Law and the Struggle for Justice in the US","",Open,5,15,0
18956,HR,4010,701,Lecture,"3","Betty Marshall","Mo 2:04AM - 2:05AM","Web-Based Course-No class mtgs","Management of Organizations","",Open,5,24,0
18952,HR,4030,701,Lecture,"3","David Penkrot","Mo 2:10AM - 2:11AM","Web-Based Course-No class mtgs","Organizational Change and Development","",Open,3,24,0
18953,HR,4050,701,Lecture,"3","Paul Weatherhead","Mo 2:06AM - 2:07AM","Web-Based Course-No class mtgs","Legal and Ethical Issues in Human Resources","",Open,4,24,0
18954,HR,5050,701,Lecture,"3","Nicole Runyon","Mo 2:08AM - 2:09AM","Web-Based Course-No class mtgs","Organizational Change and Development","",Open,7,24,0
18955,HR,5060,701,Lecture,"3","Roderick French","Mo 2:12AM - 2:13AM","Web-Based Course-No class mtgs","Transformational Leadership in Human Resources Management","",Open,8,24,0
12048,HSCI,1011,001,Seminar,"2","Karen Schmidt","We 4:00PM - 5:50PM","Gilmer Hall 225","College Science Scholar Seminar II","",Open,11,30,0
10585,IMP,4600,001,Independent Study,"3","Kelsey Johnson","TBA","TBA","Echols Thesis","",Open,4,20,0
11840,IMP,4971,001,Independent Study,"3","Fred Maus, Shawn Lyons","TBA","TBA","Interdisciplinary Thesis","",Closed,2,2,0
12638,IMP,4971,002,Independent Study,"3","George Sampson, Shawn Lyons","TBA","TBA","Interdisciplinary Thesis","",Closed,2,2,0
12929,IMP,4971,003,Independent Study,"3","Gabriel Finder, Shawn Lyons","TBA","TBA","Interdisciplinary Thesis","",Open,1,2,0
12930,IMP,4971,004,Independent Study,"3","Andrew Johnston, Shawn Lyons","TBA","TBA","Interdisciplinary Thesis","",Open,1,2,0
12931,IMP,4971,005,Independent Study,"3","Heather Warren, Shawn Lyons","TBA","TBA","Interdisciplinary Thesis","",Open,1,2,0
12932,IMP,4971,006,Independent Study,"3","Shawn Lyons, Siva Vaidhyanathan","TBA","TBA","Interdisciplinary Thesis","",Open,1,2,0
12933,IMP,4971,007,Independent Study,"3","Shawn Lyons, Theresa Davis","TBA","TBA","Interdisciplinary Thesis","",Open,1,2,0
20303,INST,1550,001,Seminar,"2","Lise Dobrin, Will Norton","MoWe 5:00PM - 6:15PM","Minor Hall 130","Interdisciplinary Studies-Student Initiated Courses","Esperanto and Internationalism",Open,0,20,0
20354,INST,1550,002,Seminar,"2","David Dustin, William Little","Mo 5:30PM - 7:20PM","Fayerweather Hall 215","Interdisciplinary Studies-Student Initiated Courses","Cinema of Christopher Nolan",Open,18,20,0
20364,INST,1550,003,Seminar,"2","Eileen Ying, Sylvia Chong","Mo 5:00PM - 6:50PM","New Cabell Hall 058","Interdisciplinary Studies-Student Initiated Courses","Hist Asian American Activism",Open,16,20,0
20304,INST,1550,004,Seminar,"2","Eric Rohr, Joseph Rilling, Paul Humphreys","We 6:00PM - 7:50PM","New Cabell Hall 211","Interdisciplinary Studies-Student Initiated Courses","Philosophy and Physics",Open,16,20,0
20371,INST,1550,005,Seminar,"1 - 3","DJ Braye, Jack Hamilton, Savannah Edwards","We 3:30PM - 5:30PM","New Cabell Hall 232","Interdisciplinary Studies-Student Initiated Courses","Introduction Film Production",Open,17,20,0
20358,INST,1550,006,Seminar,"2","Andrew Stauffer, Emma Williams","Mo 5:00PM - 6:50PM","Wilson Hall 244","Interdisciplinary Studies-Student Initiated Courses","Classic Lit and Modern Film",Open,7,20,0
13280,INST,1605,001,Lecture,"1","Christine Magume, Daanish Ahmed, Edem Akwayena, Kirt Von Daacke","Mo 4:00PM - 4:50PM","Maury Hall 104","History of Mr. Jefferson's University","",Open,43,45,0
12588,INST,2500,001,Seminar,"1","Sandra Seidel","We 6:30PM - 8:30PM","Mary Munford House","Interdisciplinary Studies International Residential College","Mindfulness Practices",Open,13,16,0
20427,INST,2550,001,Lecture,"1","Michael Redwine","MoFr 7:30AM - 8:20AM","Contact Department","Interdisciplinary Studies Hereford College","Self-Defense",Open,14,20,0
12630,INST,2550,003,Seminar,"1 - 3","William Petri","Th 6:30PM - 7:30PM","Contact Department","Interdisciplinary Studies Hereford College","Bill's Bugs",Open,3,8,0
14487,INST,2550,005,Lecture,"1 - 3","Karen Inkelas","Th 5:00PM - 7:00PM","Contact Department","Interdisciplinary Studies Hereford College","Garden Party 2",Open,5,12,0
12620,INST,2570,001,Seminar,"1 - 3","Stephen Plaskon","Fr 3:00PM - 4:00PM","Brown Reading Room","Interdisciplinary Studies Brown College","Course Design Practicum",Open,4,12,0
20081,INST,3150,001,Seminar,"1","Michael Palmer","Tu 5:00PM - 6:50PM","New Cabell Hall 068","CavEd Pedagogy Seminar","",Open,5,18,0
12938,INST,3600,001,Lecture,"1","Barry Condron","We 5:00PM - 6:15PM","Minor Hall 125","The Best of UVA:  A Collection of Unforgettable Lectures","",Open,135,140,0
13254,INST,4200,001,Seminar,"1","Michael Lenox","Tu 4:00PM - 4:50PM","Contact Department","Lawn Seminar","",Closed,13,13,0
18960,ISBU,3710,101,Lecture,"3","John Hulburt","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Managerial Finance","",Closed,25,0,0
18957,ISBU,3887,101,Lecture,"3","Gail Hunger","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Educational Technology in the Information Age","",Open,4,13,0
18958,ISBU,4670,101,Lecture,"3","Mary Repass","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Organizational Change and Development","",Open,6,13,0
18964,ISHU,3180,101,Lecture,"3","Charlotte Matthews","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Roots and Stems of Effective Writing -- The Essay","",Closed,25,25,0
18965,ISHU,3621,470,Lecture,"3","George Andrews","Tu 7:00PM - 9:45PM","NVCC Loudoun Campus","The Biological Basis for Art","",Open,6,25,0
